name,energy_kcal,protein_g,fat_g,carbohydrate_g,sugar_g
Biokul plain yogurt,0.052631578947368425,0.004166666666666667,0.0024390243902439024,0.03171247357293869,0.0522388059701492
Mr. Bread Roti tawar kupas,0.0695906432748538,0.0037500000000000003,0.00975609756097561,0.045454545454545456,0.0074626865671641
Jukku pallu kaloa,0.0013450292397660817,0.0125,0.042926829268292686,0.032135306553911204,0.0320895522388059
Mcdonald Mcnugget,0.15789473684210525,0.0125,0.07804878048780488,0.03382663847780127,0.0
Ayam,0.058479532163742694,0.0013333333333333335,0.06731707317073171,0.15856236786469347,0.0052238805970149
Teh Kotak Rasa Lemon,0.058479532163742694,0.0,0.0,0.048625792811839326,0.1492537313432835
Jambu air,0.00046783625730994154,0.03833333333333334,0.0575609756097561,0.0012684989429175475,0.0014925373134328
SUN Bubur Bayi,0.0935672514619883,0.0033333333333333335,0.012195121951219513,0.06553911205073996,0.0
Eceng,0.0011695906432748538,0.015833333333333335,0.018536585365853658,0.0021141649048625794,0.0014925373134328
Jagung muda,0.00046783625730994154,0.11833333333333335,0.14780487804878048,0.010570824524312896,0.0052238805970149
Getuk pisang,0.08421052631578947,0.0009166666666666668,0.001951219512195122,0.07209302325581396,0.0
Lupis ketan,0.09590643274853801,0.0015,0.01024390243902439,0.07293868921775899,0.0
Jambu monyet,0.00017543859649122806,0.05333333333333334,0.07707317073170732,0.0014799154334038055,0.0044776119402985
Kacang goyang,0.3017543859649123,0.01225,0.15170731707317073,0.09386892177589852,0.0
Mie Sedaap Cup Mi Kuah Soto,0.21637426900584797,0.006666666666666667,0.07804878048780488,0.10147991543340382,0.0149253731343283
Nutricake Brownies Coklat,0.0935672514619883,0.0016666666666666668,0.012195121951219513,0.06976744186046512,0.0
Starbucks caffe americano,0.008771929824561403,0.0008333333333333334,0.0,0.0063424947145877385,0.0
vanhouten cocoa powder,0.07017543859649122,0.005,0.01951219512195122,0.03171247357293869,0.0
Bawang bombay,0.0003508771929824561,0.035833333333333335,0.05024390243902439,0.002959830866807611,0.0014925373134328
Tepung Arrowroot,0.20760233918128657,0.0005833333333333334,0.000975609756097561,0.18012684989429176,0.0
Honey Stars,0.06432748538011696,0.0008333333333333334,0.0024390243902439024,0.052854122621564484,0.0597014925373134
Kelawi,0.058479532163742694,0.0008333333333333334,0.007317073170731707,0.24947145877378438,0.2029850746268656
Bagea kw 1,0.2432748538011696,0.005416666666666667,0.045853658536585365,0.1613107822410148,0.0
Tepung Mocaf,0.20467836257309943,0.001,0.002926829268292683,0.17970401691331925,0.0
Indomie mi rendang,0.2456140350877193,0.007500000000000001,0.07804878048780488,0.12473572938689219,0.0671641791044776
Mangga harumanis,0.00046783625730994154,0.03833333333333334,0.05804878048780488,0.0008456659619450318,0.0014925373134328
Kaholeo,0.0061403508771929825,0.3441666666666667,0.14536585365853658,0.06067653276955603,0.1477611940298507
Origo coffe es kopi susu,0.11169590643274854,0.005191666666666667,0.03521951219512195,0.05471458773784355,0.1530597014925373
Daun pare,0.0009356725146198831,0.04083333333333333,0.04097560975609756,0.005708245243128965,0.0074626865671641
Mie Sedaap instan white curry,0.2105263157894737,0.006666666666666667,0.06829268292682927,0.10570824524312897,0.0223880597014925
Bantal,0.11111111111111112,0.00275,0.0014634146341463415,0.0919661733615222,0.0
Sarimi Gelas Rasa Soto Ayam,0.03508771929824561,0.0025,0.03414634146341464,0.03382663847780127,0.0149253731343283
MYTEA Teh Oolong 450 ml,0.0,0.0,0.0,0.03805496828752643,0.0
Kuaci Rebo green tea,0.06432748538011696,0.005,0.04390243902439024,0.004228329809725159,0.0074626865671641
Nestle corn flakes,0.06432748538011696,0.0016666666666666668,0.0024390243902439024,0.05073995771670191,0.0
Mi ABC cup soto ayam,0.16374269005847952,0.005833333333333334,0.06341463414634146,0.0718816067653277,0.0149253731343283
Kembang tahu,0.22222222222222224,0.04075,0.06731707317073171,0.049260042283298104,0.0
Ikan Bandeng,0.0007017543859649122,0.10250000000000001,0.0,0.042283298097251586,0.035820895522388
Kacang sukro,0.28304093567251465,0.007333333333333334,0.1273170731707317,0.12198731501057083,0.0
Susu dancow rasa coklat,0.0935672514619883,0.004166666666666667,0.029268292682926828,0.048625792811839326,0.0
Arrowroot,0.0007017543859649122,0.085,0.1175609756097561,0.0021141649048625794,0.0014925373134328
Starbucks cappuccino (wholemilk),0.08187134502923976,0.005833333333333334,0.03414634146341464,0.025369978858350954,0.0
kopi seduh,0.0029239766081871343,0.0006166666666666667,0.0,0.0008879492600422834,0.0
Cornetto Silverqueen,0.06432748538011696,0.0025,0.058536585365853655,0.059196617336152224,0.1343283582089552
Mie Lemonilo kari ayam,0.15789473684210525,0.006666666666666667,0.024390243902439025,0.10147991543340382,0.0074626865671641
Bamboe Bumbu Rawon,0.008771929824561403,0.0008333333333333334,0.007317073170731707,0.004228329809725159,0.0074626865671641
